name	electrode_name	type	units
ch000	e000	n/a	V
ch001	e001	n/a	V
ch002	e002	n/a	V
ch003	e003	n/a	V
ch004	e004	n/a	V
ch005	e005	n/a	V
ch006	e006	n/a	V
ch007	e007	n/a	V
ch008	e008	n/a	V
ch009	e009	n/a	V
ch010	e010	n/a	V
ch011	e011	n/a	V
ch012	e012	n/a	V
ch013	e013	n/a	V
ch014	e014	n/a	V
ch015	e015	n/a	V
ch016	e016	n/a	V
ch017	e017	n/a	V
ch018	e018	n/a	V
ch019	e019	n/a	V
ch020	e020	n/a	V
ch021	e021	n/a	V
ch022	e022	n/a	V
ch023	e023	n/a	V
ch024	e024	n/a	V
ch025	e025	n/a	V
ch026	e026	n/a	V
ch027	e027	n/a	V
ch028	e028	n/a	V
ch029	e029	n/a	V
ch030	e030	n/a	V
ch031	e031	n/a	V
ch032	e032	n/a	V
ch033	e033	n/a	V
ch034	e034	n/a	V
ch035	e035	n/a	V
ch036	e036	n/a	V
ch037	e037	n/a	V
ch038	e038	n/a	V
ch039	e039	n/a	V
ch040	e040	n/a	V
ch041	e041	n/a	V
ch042	e042	n/a	V
ch043	e043	n/a	V
ch044	e044	n/a	V
ch045	e045	n/a	V
ch046	e046	n/a	V
ch047	e047	n/a	V
ch048	e048	n/a	V
ch049	e049	n/a	V
ch050	e050	n/a	V
ch051	e051	n/a	V
ch052	e052	n/a	V
ch053	e053	n/a	V
ch054	e054	n/a	V
ch055	e055	n/a	V
ch056	e056	n/a	V
ch057	e057	n/a	V
ch058	e058	n/a	V
ch059	e059	n/a	V
ch060	e060	n/a	V
ch061	e061	n/a	V
ch062	e062	n/a	V
ch063	e063	n/a	V
ch064	e064	n/a	V
ch065	e065	n/a	V
ch066	e066	n/a	V
ch067	e067	n/a	V
ch068	e068	n/a	V
ch069	e069	n/a	V
ch070	e070	n/a	V
ch071	e071	n/a	V
ch072	e072	n/a	V
ch073	e073	n/a	V
ch074	e074	n/a	V
ch075	e075	n/a	V
ch076	e076	n/a	V
ch077	e077	n/a	V
ch078	e078	n/a	V
ch079	e079	n/a	V
ch080	e080	n/a	V
ch081	e081	n/a	V
ch082	e082	n/a	V
ch083	e083	n/a	V
ch084	e084	n/a	V
ch085	e085	n/a	V
ch086	e086	n/a	V
ch087	e087	n/a	V
ch088	e088	n/a	V
ch089	e089	n/a	V
ch090	e090	n/a	V
ch091	e091	n/a	V
ch092	e092	n/a	V
ch093	e093	n/a	V
ch094	e094	n/a	V
ch095	e095	n/a	V
ch096	e096	n/a	V
ch097	e097	n/a	V
ch098	e098	n/a	V
ch099	e099	n/a	V
ch100	e100	n/a	V
ch101	e101	n/a	V
ch102	e102	n/a	V
ch103	e103	n/a	V
ch104	e104	n/a	V
ch105	e105	n/a	V
ch106	e106	n/a	V
ch107	e107	n/a	V
ch108	e108	n/a	V
ch109	e109	n/a	V
ch110	e110	n/a	V
ch111	e111	n/a	V
ch112	e112	n/a	V
ch113	e113	n/a	V
